"Notes"	"State"	"State Code"	"Weekday"	"Weekday Code"	Deaths	Births	Death Rate
	"Mississippi"	"28"	"Tuesday"	"3"	55	6467	8.50
	"Mississippi"	"28"	"Wednesday"	"4"	40	6410	6.24
	"Mississippi"	"28"	"Thursday"	"5"	38	6564	5.79
	"Mississippi"	"28"	"Friday"	"6"	55	5811	9.46
	"Mississippi"	"28"	"Saturday"	"7"	42	2927	14.35
	"Missouri"	"29"	"Sunday"	"1"	52	6011	8.65
	"Missouri"	"29"	"Monday"	"2"	59	11726	5.03
	"Missouri"	"29"	"Tuesday"	"3"	76	12283	6.19
	"Missouri"	"29"	"Wednesday"	"4"	88	11993	7.34
	"Missouri"	"29"	"Thursday"	"5"	71	12169	5.83
	"Missouri"	"29"	"Friday"	"6"	71	11725	6.06
	"Missouri"	"29"	"Saturday"	"7"	46	7362	6.25
	"Montana"	"30"	"Sunday"	"1"	10	1070	9.35 (Unreliable)
	"Montana"	"30"	"Monday"	"2"	Suppressed	1794	Suppressed
	"Montana"	"30"	"Tuesday"	"3"	13	1753	7.42 (Unreliable)
	"Montana"	"30"	"Wednesday"	"4"	Suppressed	1846	Suppressed
	"Montana"	"30"	"Thursday"	"5"	Suppressed	1913	Suppressed
	"Montana"	"30"	"Friday"	"6"	Suppressed	1880	Suppressed
	"Montana"	"30"	"Saturday"	"7"	Suppressed	1257	Suppressed
	"Nebraska"	"31"	"Sunday"	"1"	19	2110	9.00 (Unreliable)
	"Nebraska"	"31"	"Monday"	"2"	20	4181	4.78
	"Nebraska"	"31"	"Tuesday"	"3"	23	4236	5.43
	"Nebraska"	"31"	"Wednesday"	"4"	15	4191	3.58 (Unreliable)
	"Nebraska"	"31"	"Thursday"	"5"	30	4185	7.17
	"Nebraska"	"31"	"Friday"	"6"	21	4164	5.04
	"Nebraska"	"31"	"Saturday"	"7"	18	2421	7.43 (Unreliable)
	"Nevada"	"32"	"Sunday"	"1"	27	3805	7.10
	"Nevada"	"32"	"Monday"	"2"	27	5146	5.25
	"Nevada"	"32"	"Tuesday"	"3"	29	5534	5.24
	"Nevada"	"32"	"Wednesday"	"4"	32	5593	5.72
	"Nevada"	"32"	"Thursday"	"5"	46	5711	8.05
	"Nevada"	"32"	"Friday"	"6"	31	5448	5.69
	"Nevada"	"32"	"Saturday"	"7"	27	4445	6.07
	"New Hampshire"	"33"	"Sunday"	"1"	Suppressed	1247	Suppressed
	"New Hampshire"	"33"	"Monday"	"2"	Suppressed	1722	Suppressed
	"New Hampshire"	"33"	"Tuesday"	"3"	Suppressed	1877	Suppressed
	"New Hampshire"	"33"	"Wednesday"	"4"	Suppressed	1821	Suppressed
	"New Hampshire"	"33"	"Thursday"	"5"	Suppressed	1936	Suppressed
	"New Hampshire"	"33"	"Friday"	"6"	Suppressed	1931	Suppressed
	"New Hampshire"	"33"	"Saturday"	"7"	Suppressed	1461	Suppressed
	"New Jersey"	"34"	"Sunday"	"1"	55	10185	5.40
	"New Jersey"	"34"	"Monday"	"2"	52	14801	3.51
	"New Jersey"	"34"	"Tuesday"	"3"	46	16014	2.87
	"New Jersey"	"34"	"Wednesday"	"4"	63	16152	3.90
	"New Jersey"	"34"	"Thursday"	"5"	50	16302	3.07
	"New Jersey"	"34"	"Friday"	"6"	69	16046	4.30
	"New Jersey"	"34"	"Saturday"	"7"	49	11723	4.18
	"New Mexico"	"35"	"Sunday"	"1"	14	2599	5.39 (Unreliable)
	"New Mexico"	"35"	"Monday"	"2"	18	3337	5.39 (Unreliable)
	"New Mexico"	"35"	"Tuesday"	"3"	19	3505	5.42 (Unreliable)
	"New Mexico"	"35"	"Wednesday"	"4"	16	3638	4.40 (Unreliable)
	"New Mexico"	"35"	"Thursday"	"5"	25	3697	6.76
	"New Mexico"	"35"	"Friday"	"6"	12	3434	3.49 (Unreliable)
	"New Mexico"	"35"	"Saturday"	"7"	26	2829	9.19
	"New York"	"36"	"Sunday"	"1"	116	23942	4.85
	"New York"	"36"	"Monday"	"2"	154	32963	4.67
	"New York"	"36"	"Tuesday"	"3"	156	35561	4.39
	"New York"	"36"	"Wednesday"	"4"	150	35309	4.25
	"New York"	"36"	"Thursday"	"5"	122	35412	3.45
	"New York"	"36"	"Friday"	"6"	151	36048	4.19
	"New York"	"36"	"Saturday"	"7"	128	27003	4.74
	"North Carolina"	"37"	"Sunday"	"1"	113	12012	9.41
	"North Carolina"	"37"	"Monday"	"2"	113	17421	6.49
	"North Carolina"	"37"	"Tuesday"	"3"	129	18608	6.93
	"North Carolina"	"37"	"Wednesday"	"4"	118	18859	6.26
	"North Carolina"	"37"	"Thursday"	"5"	112	18902	5.93
	"North Carolina"	"37"	"Friday"	"6"	121	19144	6.32
	"North Carolina"	"37"	"Saturday"	"7"	97	14008	6.92
	"North Dakota"	"38"	"Sunday"	"1"	Suppressed	1019	Suppressed
	"North Dakota"	"38"	"Monday"	"2"	Suppressed	1564	Suppressed
	"North Dakota"	"38"	"Tuesday"	"3"	13	1833	7.09 (Unreliable)
	"North Dakota"	"38"	"Wednesday"	"4"	Suppressed	1656	Suppressed
	"North Dakota"	"38"	"Thursday"	"5"	Suppressed	1708	Suppressed
	"North Dakota"	"38"	"Friday"	"6"	Suppressed	1720	Suppressed
	"North Dakota"	"38"	"Saturday"	"7"	10	1136	8.80 (Unreliable)
	"Ohio"	"39"	"Sunday"	"1"	103	12781	8.06
	"Ohio"	"39"	"Monday"	"2"	138	20320	6.79
	"Ohio"	"39"	"Tuesday"	"3"	138	21702	6.36
	"Ohio"	"39"	"Wednesday"	"4"	155	21479	7.22
	"Ohio"	"39"	"Thursday"	"5"	134	21818	6.14
	"Ohio"	"39"	"Friday"	"6"	156	21959	7.10
	"Ohio"	"39"	"Saturday"	"7"	115	15075	7.63
	"Oklahoma"	"40"	"Sunday"	"1"	32	3772	8.48
	"Oklahoma"	"40"	"Monday"	"2"	61	8177	7.46
	"Oklahoma"	"40"	"Tuesday"	"3"	52	8734	5.95
